Episode,Average_r_t
1,-9.607366
2,-6.620468
3,-7.590305
4,-8.862970
5,-11.903039
6,-9.123020
7,-8.527611
8,-8.849277
9,-8.365456
10,-9.677532
11,-13.479190
12,-10.672731
13,-8.908840
14,-9.015470
15,-4.856814
16,-13.648066
17,-13.083978
18,-10.725072
19,-10.157366
20,-8.278387
21,-10.071205
22,-7.898343
23,-10.864457
24,-15.323336
25,-5.591568
26,-12.574191
27,-10.669416
28,-10.683412
29,-9.138003
30,-6.347224
31,-8.744922
32,-11.404236
33,-9.515601
34,-6.688490
35,-10.512773
36,-7.347330
37,-14.303328
38,-9.027624
39,-11.367956
40,-11.432518
41,-10.184530
42,-8.745751
43,-9.005972
44,-8.111129
45,-7.270416
46,-8.153894
47,-8.709090
48,-6.229282
49,-9.172560
50,-9.383794
51,-8.206998
52,-7.962681
53,-12.420718
54,-6.387385
55,-8.979466
56,-13.548250
57,-13.536951
58,-10.566588
59,-9.287937
60,-9.129887
61,-11.153104
62,-8.744751
63,-10.544554
64,-11.551250
65,-7.369153
66,-12.578361
67,-14.657182
68,-10.985175
69,-6.730387
70,-6.739963
71,-8.302486
72,-8.339016
73,-11.186609
74,-7.134017
75,-7.105143
76,-8.218969
77,-11.717916
78,-8.937595
79,-11.146961
80,-6.172468
81,-9.357090
82,-8.021744
83,-11.070310
84,-11.464957
85,-11.311878
86,-15.826164
87,-5.255249
88,-13.162760
89,-6.900000
90,-10.256617
91,-7.400368
92,-11.657117
93,-9.787977
94,-13.202407
95,-8.031781
96,-11.616075
97,-10.924309
98,-8.976730
99,-7.185820
100,-7.260405
101,-9.638740
102,-10.613260
103,-11.209208
104,-7.434412
105,-9.831821
106,-7.187464
107,-11.058932
108,-12.236924
109,-8.291252
110,-8.857011
111,-8.134807
112,-13.432399
113,-10.906590
114,-10.347869
115,-10.761944
116,-14.072323
117,-10.893725
118,-6.628440
119,-9.456485
120,-7.420126
121,-11.263496
122,-12.320521
123,-10.061418
124,-11.387898
125,-10.229413
126,-12.727335
127,-5.599250
128,-9.312615
129,-8.072547
130,-13.758524
131,-10.588398
132,-8.672678
133,-6.906814
134,-10.974572
135,-8.739108
136,-10.263444
137,-5.491068
138,-9.037293
139,-8.659603
140,-7.677309
141,-5.922007
142,-7.788727
143,-8.875454
144,-13.889911
145,-10.867495
146,-5.242831
147,-12.560168
148,-10.157748
149,-7.144291
150,-7.079650
151,-9.466680
152,-8.652512
153,-9.980255
154,-11.309813
155,-8.590082
156,-10.228229
157,-6.347501
158,-11.723139
159,-7.988700
160,-12.439411
161,-9.752947
162,-8.147501
163,-8.292949
164,-9.759932
165,-9.800737
166,-5.708761
167,-8.733544
168,-7.674454
169,-9.644449
170,-7.141160
171,-9.657998
172,-11.757380
173,-10.082952
174,-9.625414
175,-11.281229
176,-9.868850
177,-9.760234
178,-6.946409
179,-12.184228
180,-8.954407
181,-10.433978
182,-8.812155
183,-12.272099
184,-10.349355
185,-6.029821
186,-9.739056
187,-7.644107
188,-10.637911
189,-12.821731
190,-11.259721
191,-11.876611
192,-7.830702
193,-5.706077
194,-12.889661
195,-8.101684
196,-12.131492
197,-6.510208
198,-11.095633
199,-12.319613
200,-6.829045
201,-6.971692
202,-8.278032
203,-9.401171
204,-14.740450
205,-10.506340
206,-15.123375
207,-6.580203
208,-7.995396
209,-8.169455
210,-6.892555
211,-12.082820
212,-9.047803
213,-7.597422
214,-7.782071
215,-7.464549
216,-14.532307
217,-12.208932
218,-12.505906
219,-5.014273
220,-10.603407
221,-9.644778
222,-8.827861
223,-7.847145
224,-15.961997
225,-7.609905
226,-12.687858
227,-13.426888
228,-8.633794
229,-11.890463
230,-9.996830
231,-7.959918
232,-9.759616
233,-11.388464
234,-7.480203
235,-7.381597
236,-10.341805
237,-9.935083
238,-8.177164
239,-8.388858
240,-14.916390
241,-5.443738
242,-10.030255
243,-14.162615
244,-7.549448
245,-7.559511
246,-9.226585
247,-8.509024
248,-9.982505
249,-13.652605
250,-15.304459
251,-9.929295
252,-10.683439
253,-11.890897
254,-9.044765
255,-7.515562
256,-10.731834
257,-11.570166
258,-11.839134
259,-7.083504
260,-11.142805
261,-5.640095
262,-9.010813
263,-10.791305
264,-10.098500
265,-8.170376
266,-8.809616
267,-16.039937
268,-12.973494
269,-12.481965
270,-10.185109
271,-9.429782
272,-11.110773
273,-6.892647
274,-8.914733
275,-10.616206
276,-14.450592
277,-10.743831
278,-8.009958
279,-12.926519
280,-12.091068
281,-6.733596
282,-6.469982
283,-7.856630
284,-8.592344
285,-8.772665
286,-8.900210
287,-7.440700
288,-9.872797
289,-11.417811
290,-12.552368
291,-7.036004
292,-11.040713
293,-5.743002
294,-13.260234
295,-8.552697
296,-10.467127
297,-8.404407
298,-9.212839
299,-9.811326
300,-6.053591
301,-12.362681
302,-11.302762
303,-13.023612
304,-8.357801
305,-14.824178
306,-7.917969
307,-6.944199
308,-8.717403
309,-11.063720
310,-7.032873
311,-9.774428
312,-5.938398
313,-7.938674
314,-12.616838
315,-7.152263
316,-10.743225
317,-5.907551
318,-8.872034
319,-11.143831
320,-9.688122
321,-8.497238
322,-10.511418
323,-15.212852
324,-6.764273
325,-7.315378
326,-7.220560
327,-10.344449
328,-9.102157
329,-11.982649
330,-15.888779
331,-6.944659
332,-8.683136
333,-11.568022
334,-10.222007
335,-11.304183
336,-9.402578
337,-11.907459
338,-6.941529
339,-11.032399
340,-6.911234
341,-7.880203
342,-7.387385
343,-15.996817
344,-11.952381
345,-9.243436
346,-6.568521
347,-11.234530
348,-8.061839
349,-8.126059
350,-12.047553
351,-11.987056
352,-9.744830
353,-13.169916
354,-5.939871
355,-9.199908
356,-8.206419
357,-9.430808
358,-10.914825
359,-8.397356
360,-9.120074
361,-6.875809
362,-11.549198
363,-8.965956
364,-8.146554
365,-10.070534
366,-11.224928
367,-8.828742
368,-8.815430
369,-10.225717
370,-8.048553
371,-8.065667
372,-10.488411
373,-5.975204
374,-8.901565
375,-13.018364
376,-14.891686
377,-8.753026
378,-12.079440
379,-7.485267
380,-7.045291
381,-7.339450
382,-11.326085
383,-9.680387
384,-7.754696
385,-8.859103
386,-10.978598
387,-6.709234
388,-11.476953
389,-12.017403
390,-11.387569
391,-7.287464
392,-13.483610
393,-6.777756
394,-11.041515
395,-11.485162
396,-11.055012
397,-12.397737
398,-11.536346
399,-11.171363
400,-8.441700
401,-7.801079
402,-10.697514
403,-9.040884
404,-5.225691
405,-11.750316
406,-9.233333
407,-13.620232
408,-9.837280
409,-10.653039
410,-9.517206
411,-5.578545
412,-12.846922
413,-11.689937
414,-8.322652
415,-8.630663
416,-10.664562
417,-7.848408
418,-7.688214
419,-11.643199
420,-10.503197
421,-10.208748
422,-8.305485
423,-11.732873
424,-5.445238
425,-8.647027
426,-8.020166
427,-7.433057
428,-11.637582
429,-10.189740
430,-8.061194
431,-7.391436
432,-5.285267
433,-9.696909
434,-7.594936
435,-12.255393
436,-12.652289
437,-13.015785
438,-6.202591
439,-8.947974
440,-16.625822
441,-11.839056
442,-15.159669
443,-8.038490
444,-13.354262
445,-6.914641
446,-8.448316
447,-8.039569
448,-8.676230
449,-6.893646
450,-9.978716
451,-7.299632
452,-8.357195
453,-11.788358
454,-9.966456
455,-9.017311
456,-14.082649
457,-9.328256
458,-9.661944
459,-12.976796
460,-10.463181
461,-10.441068
462,-9.620994
463,-8.575322
464,-8.227874
465,-13.171613
466,-5.704867
467,-7.149198
468,-9.949448
469,-8.797514
470,-8.243923
471,-7.390923
472,-10.100684
473,-10.476875
474,-11.534254
475,-6.253775
476,-10.944186
477,-11.694646
478,-6.135491
479,-9.328756
480,-8.427664
481,-8.298619
482,-10.674309
483,-5.604236
484,-7.724257
485,-9.985609
486,-7.106288
487,-8.667798
488,-11.480505
489,-12.058445
490,-6.746593
491,-12.849592
492,-12.936096
493,-10.605893
494,-5.950921
495,-10.845764
496,-7.722468
497,-6.880873
498,-14.246685
499,-8.342081
500,-7.819521
501,-11.984701
502,-8.764180
503,-9.506169
504,-8.051526
505,-9.209576
506,-13.311971
507,-12.091489
508,-8.838398
509,-14.651131
510,-11.330018
511,-10.290384
512,-6.206998
513,-12.871915
514,-9.435912
515,-12.225506
516,-5.988398
517,-9.449237
518,-8.505288
519,-8.153446
520,-15.386753
521,-12.367903
522,-10.373731
523,-7.166627
524,-6.548540
525,-8.683241
526,-7.557735
527,-9.138740
528,-10.823915
529,-9.315693
530,-5.957919
531,-10.468614
532,-10.903065
533,-9.622678
534,-13.666062
535,-10.149079
536,-6.255012
537,-10.598277
538,-11.815838
539,-6.271507
540,-6.140055
541,-10.378927
542,-8.922599
543,-5.375230
544,-12.472086
545,-5.937293
546,-8.741660
547,-9.791160
548,-8.334899
549,-6.389042
550,-9.566101
551,-10.346212
552,-8.581913
553,-8.297830
554,-8.124191
555,-6.685175
556,-9.525283
557,-12.831597
558,-9.275572
559,-8.709642
560,-6.054946
561,-10.847303
562,-10.032426
563,-9.632044
564,-5.974494
565,-5.554328
566,-9.208932
567,-10.932044
568,-11.386411
569,-9.742449
570,-9.275178
571,-10.529650
572,-8.443370
573,-11.305446
574,-12.215562
575,-9.938503
576,-7.904801
577,-11.574757
578,-6.739042
579,-6.124862
580,-8.185543
581,-10.966206
582,-7.099145
583,-12.982899
584,-10.431715
585,-7.771507
586,-7.848224
587,-12.221718
588,-11.382570
589,-7.533610
590,-9.171836
591,-11.795435
592,-8.370468
593,-12.685030
594,-8.799355
595,-10.158169
596,-9.060918
597,-7.786740
598,-10.050316
599,-9.009392
600,-11.894962
601,-6.740976
602,-6.468508
603,-7.858932
604,-11.016022
605,-12.649053
606,-8.898343
607,-11.464694
608,-7.405985
609,-11.130873
610,-9.367574
611,-8.324494
612,-5.869245
613,-9.016693
614,-13.377979
615,-8.481807
616,-5.614825
617,-12.247422
618,-7.395028
619,-11.905091
620,-12.096843
621,-10.427795
622,-8.296777
623,-10.451999
624,-8.723033
625,-5.715838
626,-7.397908
627,-8.389424
628,-7.050921
629,-8.774125
630,-9.566943
631,-10.246593
632,-6.096475
633,-8.911747
634,-7.323244
635,-10.109195
636,-13.869797
637,-10.443752
638,-8.626190
639,-7.908156
640,-8.537201
641,-12.365193
642,-10.828137
643,-5.989582
644,-8.703775
645,-13.046619
646,-7.270416
647,-9.928006
648,-11.736701
649,-10.064522
650,-7.850355
651,-7.343738
652,-6.481137
653,-7.543462
654,-13.141489
655,-5.864180
656,-12.545251
657,-11.485609
658,-6.404867
659,-12.383268
660,-8.310958
661,-13.092870
662,-8.699158
663,-9.403236
664,-12.567009
665,-10.686096
666,-8.712891
667,-12.528913
668,-11.837148
669,-10.197580
670,-8.764549
671,-10.448698
672,-8.086188
673,-8.493804
674,-10.482557
675,-9.455762
676,-12.704236
677,-7.772284
678,-13.350487
679,-11.490713
680,-8.355630
681,-7.853775
682,-6.546435
683,-14.648908
684,-13.273323
685,-7.256814
686,-11.965483
687,-8.474323
688,-7.633636
689,-7.142568
690,-10.751657
691,-11.992883
692,-6.868521
693,-15.200013
694,-9.317035
695,-8.189503
696,-8.161602
697,-11.012220
698,-11.189529
699,-10.224586
700,-10.346304
701,-9.678124
702,-7.040239
703,-7.651921
704,-10.963352
705,-9.820429
706,-14.128913
707,-10.709576
708,-6.952578
709,-6.648066
710,-10.080992
711,-6.381676
712,-10.519705
713,-10.899355
714,-10.145672
715,-10.079834
716,-6.682610
717,-10.297067
718,-12.488108
719,-10.246041
720,-13.672099
721,-15.763983
722,-7.500829
723,-8.057893
724,-6.417232
725,-9.315101
726,-10.262378
727,-8.771087
728,-10.754223
729,-10.087280
730,-8.366640
731,-8.354604
732,-15.853078
733,-13.712799
734,-9.432597
735,-9.882097
736,-5.533504
737,-7.012983
738,-7.956906
739,-6.500947
740,-8.869245
741,-8.862063
742,-12.560037
743,-8.204880
744,-7.490687
745,-11.994015
746,-6.217864
747,-10.550132
748,-9.595014
749,-7.097711
750,-5.862497
751,-12.212957
752,-10.467272
753,-8.369521
754,-7.747882
755,-11.456367
756,-7.149776
757,-11.806761
758,-9.653039
759,-7.539687
760,-8.533149
761,-14.575875
762,-10.097672
763,-8.006722
764,-8.563457
765,-12.536740
766,-8.465720
767,-12.255670
768,-12.403552
769,-7.708471
770,-9.456433
771,-8.930558
772,-8.499632
773,-9.897145
774,-10.665706
775,-5.486648
776,-8.351973
